STATE,RULE,LOOKAHEAD,ACTION / GOTO,STATE(S) / RULE (R)
"S0","<program'> -> . <program>","$","Goto (<program>)","S1"
"S0","<program> -> . <subroutine_list> ACTIVATE L_BRACE <statement_list> R_BRACE","$","Goto (<subroutine_list>)","S2"
"S0","<subroutine_list> -> . <subroutine_list> <subroutine>","ACTION, ACTIVATE","Goto (<subroutine_list>)","S2"
"S0","<subroutine_list> -> . ε","ACTION, ACTIVATE","Reduce (<subroutine_list>)","R3"
,,,,
"S1","<program'> -> <program> .","$","Acceptance","Accept"
,,,,
"S2","<program> -> <subroutine_list> . ACTIVATE L_BRACE <statement_list> R_BRACE","$","Shift (ACTIVATE)","S3"
"S2","<subroutine_list> -> <subroutine_list> . <subroutine>","ACTION, ACTIVATE","Goto (<subroutine>)","S5"
"S2","<subroutine> -> . ACTION <rec_type> IDENTIFIER L_PAREN <params> R_PAREN L_BRACE <statement_list> R_BRACE","ACTION, ACTIVATE","Shift (ACTION)","S4"
,,,,
"S3","<program> -> <subroutine_list> ACTIVATE . L_BRACE <statement_list> R_BRACE","$","Shift (L_BRACE)","S6"
,,,,
"S4","<subroutine> -> ACTION . <rec_type> IDENTIFIER L_PAREN <params> R_PAREN L_BRACE <statement_list> R_BRACE","ACTION, ACTIVATE","Goto (<rec_type>)","S15"
"S4","<rec_type> -> . <data_type>","IDENTIFIER","Goto (<data_type>)","S16"
"S4","<rec_type> -> . CLUSTER <data_type> L_BRACKET R_BRACKET","IDENTIFIER","Shift (CLUSTER)","S13"
"S4","<rec_type> -> . CLUSTER <data_type> L_BRACKET R_BRACKET L_BRACKET R_BRACKET","IDENTIFIER","Shift (CLUSTER)","S13"
"S4","<rec_type> -> . VOID","IDENTIFIER","Shift (VOID)","S12"
"S4","<data_type> -> . PULSE","IDENTIFIER","Shift (PULSE)","S8"
"S4","<data_type> -> . SPARK","IDENTIFIER","Shift (SPARK)","S11"
"S4","<data_type> -> . STREAM","IDENTIFIER","Shift (STREAM)","S10"
"S4","<data_type> -> . THOUGHT","IDENTIFIER","Shift (THOUGHT)","S7"
"S4","<data_type> -> . NEURON","IDENTIFIER","Shift (NEURON)","S14"
"S4","<data_type> -> . SYNAPSE","IDENTIFIER","Shift (SYNAPSE)","S9"
,,,,
"S5","<subroutine_list> -> <subroutine_list> <subroutine> .","ACTION, ACTIVATE","Reduce (<subroutine_list>)","R2"
,,,,
"S6","<program> -> <subroutine_list> ACTIVATE L_BRACE . <statement_list> R_BRACE","$","Goto (<statement_list>)","S17"
"S6","<statement_list> -> . <statement_list> <statement>","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FALSE, FLOW, IDENTIFIER, INSTINCT, LENGTH, L_PAREN, NEURON, NEURON_LIT, PULSE, PULSE_LIT, REACT, RECALL, R_BRACE, SENSE, SPARK, SPARK_LIT, STIMULATE, STREAM, STREAM_LIT, SYNAPSE, THOUGHT, THOUGHT_LIT, TRANSCRIBE, TRUE","Goto (<statement_list>)","S17"
"S6","<statement_list> -> . ε","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FALSE, FLOW, IDENTIFIER, INSTINCT, LENGTH, L_PAREN, NEURON, NEURON_LIT, PULSE, PULSE_LIT, REACT, RECALL, R_BRACE, SENSE, SPARK, SPARK_LIT, STIMULATE, STREAM, STREAM_LIT, SYNAPSE, THOUGHT, THOUGHT_LIT, TRANSCRIBE, TRUE","Reduce (<statement_list>)","R50"
,,,,
"S7","<data_type> -> THOUGHT .","IDENTIFIER","Reduce (<data_type>)","R46"
,,,,
"S8","<data_type> -> PULSE .","IDENTIFIER","Reduce (<data_type>)","R43"
,,,,
"S9","<data_type> -> SYNAPSE .","IDENTIFIER","Reduce (<data_type>)","R48"
,,,,
"S10","<data_type> -> STREAM .","IDENTIFIER","Reduce (<data_type>)","R45"
,,,,
"S11","<data_type> -> SPARK .","IDENTIFIER","Reduce (<data_type>)","R44"
,,,,
"S12","<rec_type> -> VOID .","IDENTIFIER","Reduce (<rec_type>)","R15"
,,,,
"S13","<rec_type> -> CLUSTER . <data_type> L_BRACKET R_BRACKET","IDENTIFIER","Goto (<data_type>)","S24"
"S13","<rec_type> -> CLUSTER . <data_type> L_BRACKET R_BRACKET L_BRACKET R_BRACKET","IDENTIFIER","Goto (<data_type>)","S24"
"S13","<data_type> -> . PULSE","L_BRACKET","Shift (PULSE)","S19"
"S13","<data_type> -> . SPARK","L_BRACKET","Shift (SPARK)","S22"
"S13","<data_type> -> . STREAM","L_BRACKET","Shift (STREAM)","S21"
"S13","<data_type> -> . THOUGHT","L_BRACKET","Shift (THOUGHT)","S18"
"S13","<data_type> -> . NEURON","L_BRACKET","Shift (NEURON)","S23"
